Logging results to [1m/home/ros/vonduke-builds/AKSUMAEL/runs/detect/data/models/aksumael_mc[0m
      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

[K       1/30     0.703G      2.651      5.868      1.904         28        320: 84% ━━━━━━━━━━── 84/100 7.9it/s 13.9s<2.0s
[K       1/30     0.703G      2.651      5.863      1.907         23        320: 85% ━━━━━━━━━━── 85/100 7.8it/s 14.0s<1.9s
[K       1/30     0.703G      2.647       5.86      1.903         35        320: 86% ━━━━━━━━━━── 86/100 7.8it/s 14.2s<1.8s
[K       1/30     0.703G      2.644      5.853      1.901         39        320: 87% ━━━━━━━━━━── 87/100 7.7it/s 14.3s<1.7s
[K       1/30     0.703G      2.641      5.845      1.901         36        320: 88% ━━━━━━━━━━╸─ 88/100 7.8it/s 14.4s<1.5s
[K       1/30     0.703G      2.631      5.842      1.898         19        320: 89% ━━━━━━━━━━╸─ 89/100 7.8it/s 14.6s<1.4s
[K       1/30     0.703G      2.622      5.831      1.893         33        320: 90% ━━━━━━━━━━╸─ 90/100 7.8it/s 14.7s<1.3s
[K       1/30     0.703G      2.623      5.823      1.893         41        320: 91% ━━━━━━━━━━╸─ 91/100 8.0it/s 14.8s<1.1s
[K       1/30     0.703G      2.617      5.813       1.89         39        320: 92% ━━━━━━━━━━━─ 92/100 8.2it/s 14.9s<1.0s
[K       1/30     0.703G      2.608      5.805      1.883         26        320: 93% ━━━━━━━━━━━─ 93/100 8.3it/s 15.0s<0.8s
[K       1/30     0.703G      2.601      5.792      1.881         30        320: 94% ━━━━━━━━━━━─ 94/100 8.1it/s 15.2s<0.7s
[K       1/30     0.703G      2.596      5.784      1.879         30        320: 95% ━━━━━━━━━━━─ 95/100 8.2it/s 15.3s<0.6s
[K       1/30     0.703G       2.59      5.775      1.876         29        320: 96% ━━━━━━━━━━━╸ 96/100 8.5it/s 15.4s<0.5s
[K       1/30     0.703G      2.581      5.754      1.872         33        320: 98% ━━━━━━━━━━━╸ 98/100 9.1it/s 15.6s<0.2s
[K       1/30     0.703G      2.578      5.751       1.87         25        320: 99% ━━━━━━━━━━━╸ 99/100 9.1it/s 15.7s<0.1s
[K       1/30     0.703G      2.578      5.751       1.87         25        320: 100% ━━━━━━━━━━━━ 100/100 6.4it/s 15.7s

[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 1/892 2.0s/it 0.6s<28:58
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 2/892 1.3it/s 0.9s<11:14
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 3/892 3.4it/s 1.0s<4:23
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 4/892 4.9it/s 1.1s<2:60
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 5/892 6.0it/s 1.3s<2:27
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 6/892 6.4it/s 1.4s<2:18
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 7/892 6.5it/s 1.5s<2:16
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 0% ──────────── 8/892 6.6it/s 1.7s<2:14
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 9/892 6.5it/s 1.8s<2:15
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 10/892 6.6it/s 2.0s<2:14
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 11/892 7.0it/s 2.1s<2:06
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 12/892 7.1it/s 2.3s<2:04
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 13/892 7.3it/s 2.4s<2:01
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 14/892 7.4it/s 2.5s<1:59
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 15/892 7.6it/s 2.6s<1:55
